 the iv  	 sayang oov
 zal iv  	 zal iv
 wel iv  	 wel iv
 zien iv  	 zien iv
 hoi oov  	 hoh iv
 een oov  	 een oov
 pv iv  	 pizza oov
 zou iv  	 zou iv
 ook oov  	 ook oov
 wel iv  	 wel iv
 zo oov  	 smaken oov
 nu iv  	 nu iv
 het is oov  	 het is oov
 goed oov  	 goed oov
 ik zeg oov  	 ik zeg oov
 al iv  	 al iv
 niet oov  	 niet oov
 mijn oov  	 mijn oov
 man iv  	 miyanna iv
 ik zal oov  	 ik zal oov
 zelf iv  	 zelf iv
 een oov  	 een oov
 ben oov  	 blunt iv
 maar oov  	 meepakken oov
 , iv  	 , iv
 jij oov  	 jij oov
 mag ik oov  	 mocht oov
 hem oov  	 hem oov
 veel oov  	 vullen oov
 :p iv  	 :p iv
 laat oov  	 loona iv
 mag ik oov  	 mag ik oov
 even oov  	 even oov
 pv iv  	 pv iv
 komen oov  	 komen oov
 hahaha iv  	 hahaha iv
 wij iv  	 wij iv
 wel iv  	 wel iv
 ja oov  	 jij gaat oov
 een iv  	 een iv
 spelletje iv  	 spelletje iv
 doen iv  	 doen iv
 dat is oov  	 dat is oov
 niet oov  	 niet oov
 gezellig iv  	 gezellig iv
 eh iv  	 eh iv
 mysterym iv  	 mysterym iv
 hem oov  	 hij oov
 zal iv  	 zal iv
 een iv  	 een iv
 goed oov  	 goed oov
 heb ik oov  	 bad oov
 nemen iv  	 nemen iv
 eh iv  	 eh iv
 dan iv  	 dan iv
 met oov  	 met oov
 veel oov  	 veel oov
 zo oov  	 schuim iv
 a iv  	 aiai iv
 ik iv  	 ik iv
 ga iv  	 ga iv
 vanavond oov  	 vanavond oov
 keer iv  	 keer iv
 niet oov  	 niet oov
 geen oov  	 gaan oov
 lekker oov  	 pokeren iv
 maar oov  	 maar oov
 geen oov  	 gaan oov
 man iv  	 manillen iv
 :p iv  	 :p iv
 hoi oov  	 hoi oov
 hoi oov  	 hoi oov
 hoi oov  	 hoi oov
 ... iv  	 ... iv
 moet ik oov  	 moet ik oov
 is iv  	 eens oov
 zeggen oov  	 zingen oov
 he iv  	 he iv
 :d iv  	 :d iv
 ik weet oov  	 ik wacht oov
 al iv  	 al iv
 op iv  	 op iv
 een oov  	 een oov
 uur oov  	 uur oov
 voor iv  	 voor iv
 een oov  	 een oov
 geen oov  	 gline iv
 ofzo iv  	 ofzo iv
 leren iv  	 locdog iv
 goed oov  	 jij oov
 jij oov  	 bent oov
 mijn oov  	 mijn oov
 nog oov  	 rug iv
 vergeten oov  	 vergeten oov
 was oov  	 wassen oov
 :p iv  	 :p iv
 nee oov  	 nee oov
 mmissy iv  	 mmissy iv
 a iv  	 als oov
 jij oov  	 jij oov
 zo oov  	 boos iv
 wordt iv  	 wordt iv
 is dat oov  	 is dat oov
 zo iv  	 zo iv
 morgen oov  	 erg oov
 niet oov  	 niet oov
 :) iv  	 :) iv
 maar oov  	 maar oov
 ik heb oov  	 ik heb oov
 die oov  	 die oov
 hier oov  	 hier oov
 eigenlijk oov  	 eigenlijk oov
 niet oov  	 niet oov
 thuis iv  	 thuis iv
 liggen oov  	 liggen oov
 :o iv  	 :$ iv
 oké oov  	 oké oov
 :d iv  	 ^^ iv
 :) iv  	 :) iv
 dan iv  	 dan iv
 zal het oov  	 zal het oov
 bij iv  	 bij iv
 mij iv  	 mij iv
 nog iv  	 nog iv
 wel iv  	 wel iv
 ergens oov  	 ergens oov
 voor iv  	 voor iv
 8 iv  	 8 iv
 u iv  	 uur oov
 waar oov  	 worden oov
 waarschijnlijk oov  	 waarschijnlijk oov
 kom oov  	 jommo iv
 het weet oov  	 tweetyke iv
 jij oov  	 jij oov
 moet oov  	 moet oov
 uw iv  	 uw iv
 tegen oov  	 tong iv
 daar iv  	 daarvoor iv
 niet oov  	 niet oov
 drinken oov  	 uitsteken iv
 é iv  	 ééééé iv
 :p iv  	 :p iv
 door oov  	 dat is oov
 van oov  	 van oov
 die iv  	 die iv
 kom is oov  	 koorts iv
 é iv  	 é iv
 :p iv  	 :p iv
 krijgen oov  	 krijg het oov
 dan oov  	 dan oov
 heet iv  	 heet iv
 dan oov  	 dan oov
 kom je oov  	 koud iv
 dan oov  	 dan oov
 heet iv  	 heet iv
 ... iv  	 ... iv
 ook oov  	 oeie iv
 mijn oov  	 mijn oov
 ben oov  	 zetel iv
 eens oov  	 is oov
 ook oov  	 ook oov
 niet oov  	 niet oov
 goed oov  	 goed oov
 genoeg iv  	 genoeg iv
 :s iv  	 :s iv
 ja oov  	 ja oov
 a zo oov  	 zo oov
 ale iv  	 ale iv
 het is oov  	 het is oov
 goed oov  	 goed oov
 :p iv  	 :p iv
 sowieso oov  	 sonic iv
 ik iv  	 ik iv
 doen oov  	 donwload iv
 gewoon iv  	 gewoon iv
 de iv  	 de iv
 zijn oov  	 lijst iv
 in iv  	 in iv
 ben oov  	 bearshare iv
 kom ik oov  	 kom ik oov
 vanavond oov  	 van alles oov
 tegen iv  	 tegen iv
 :p iv  	 :p iv
 bij iv  	 bij iv
 mij iv  	 mij iv
 komen oov  	 komen oov
 ze iv  	 ze iv
 laat oov  	 alsmaar oov
 vragen oov  	 vragen oov
 die iv  	 die iv
 gasten oov  	 gast oov
 ben je oov  	 is oov
 een iv  	 een iv
 voor oov  	 vrouw iv
 of iv  	 of iv
 een oov  	 een oov
 man iv  	 man iv
 vrijdag iv  	 vrijdag iv
 zitten oov  	 zit ik oov
 me iv  	 met oov
 mijn oov  	 mijn oov
 trein iv  	 trein iv
 waar oov  	 weer oov
 in iv  	 in iv
 drinken oov  	 st-niklaas oov
 liefje oov  	 liefje oov
 :p iv  	 :p iv
 moeten oov  	 moet oov
 voor oov  	 voor oov
 het oov  	 het oov
 voor oov  	 vrouwtje oov
 morgen oov  	 zorgen iv
 nog oov  	 aragonn iv
 ik heb oov  	 ik heb oov
 een oov  	 een oov
 gewoon oov  	 gitaarspelende oov
 ben oov  	 brandweer iv
 in iv  	 in iv
 mijn oov  	 mijn oov
 privé oov  	 privé oov
 zitten oov  	 zitten oov
 :s iv  	 :s iv
 ik zou oov  	 ik zou oov
 hier oov  	 hier oov
 eens oov  	 eens oov
 niet oov  	 niet oov
 of iv  	 foto's iv
 op iv  	 op iv
 me iv  	 mijn oov
  	 profiel iv
 moeten oov  	 moeten oov
 ben oov  	 zetten oov
 drinken oov  	 feitelijk oov
 laat oov  	 klap oov
 doen oov  	 doen oov
 :p iv  	 :p iv
 ik heb oov  	 ik hou oov
 u iv  	 u iv
 drinken oov  	 daaraan oov
 é iv  	 é iv
 :p iv  	 :p iv
 maar ja oov  	 maar ja oov
 ga iv  	 goa_ke iv
 zoeken oov  	 zolang iv
 die iv  	 die iv
 kom oov  	 bloemen oov
 er iv  	 er iv
 nog iv  	 nog iv
 aan iv  	 aan iv
 nog oov  	 hangen oov
 is het oov  	 is het oov
 voor iv  	 voor iv
 mij iv  	 mij iv
 goed oov  	 goed oov
 wat iv  	 wat iv
 vragen oov  	 vraagt oov
 man iv  	 miyanna iv
 sorry oov  	 sorry oov
 was iv  	 was iv
 even oov  	 even oov
 niet oov  	 niet oov
 aan het oov  	 aan het oov
 volgen oov  	 volgen oov
 is het oov  	 is het oov
 oké oov  	 koek en ei oov
 tussen oov  	 tussen oov
 van de oov  	 cd&v oov
 en iv  	 en iv
 naar oov  	 n-va oov
 ? iv  	 ? iv
 vind oov  	 vind je oov
 niet oov  	 niet oov
 dat je oov  	 dat je oov
 teveel iv  	 teveel iv
 moet oov  	 moet oov
 drinken oov  	 draaien oov
 voor iv  	 voor iv
 het weet niet oov  	 te weinig oov
 goed oov  	 geld iv
 ja oov  	 ja oov
 , iv  	 , iv
 als iv  	 als iv
 die oov  	 die oov
 hier oov  	 hier oov
 werken oov  	 weer oov
 ook oov  	 komt oov
 zitten oov  	 zitten oov
 is iv  	 ben oov
 ik iv  	 ik iv
 weg iv  	 weg iv
 , iv  	 , iv
 goed oov  	 tot ziens oov
 knuffie iv  	 knuffie iv
 oh oov  	 oh oov
 ik heb oov  	 ik heb oov
 gisteren oov  	 gisteren oov
 misschien oov  	 schattigste iv
 was oov  	 ras iv
 ook iv  	 ooit iv
 gezien iv  	 gezien iv
 een iv  	 een iv
 misschien oov  	 amerikaanse oov
 er oov  	 kruloor iv
 moeten oov  	 cute iv
 :d iv  	 :d iv
 even oov  	 pfff iv
 knuffie iv  	 knuffie iv
 waarom oov  	 waarom oov
 zou iv  	 zou iv
 ik iv  	 ik, oov
 ik heb oov  	 ik heb oov
 nu iv  	 nu iv
 net iv  	 net iv
 een iv  	 een iv
 goeie iv  	 goeie iv
 geen oov  	 gevonden oov
 : iv  	 : iv
 lol iv  	 lol iv
 : iv  	 : iv
 probleem oov  	 probeer oov
 maar oov  	 maar oov
 dan oov  	 dan oov
 moeten oov  	 moeten oov
 aan iv  	 aan iv
 man oov  	 mannen oov
 oké oov  	 komen oov
 ook iv  	 ook iv
 een oov  	 ee iv
 :) iv  	 :) iv
 ik heb oov  	 ik heb het oov
 hier oov  	 hier oov
 wel iv  	 wel iv
 gaan oov  	 5 iv
 keer iv  	 keer iv
 gewoon iv  	 gevraagd iv
 of dat oov  	 of oov
 er iv  	 er iv
 iemand iv  	 iemand iv
 zeg oov  	 augurken oov
 moest iv  	 moest iv
 hebben oov  	 hebben oov
 broer oov  	 brrr iv
 oké oov  	 olijven oov
 kom oov  	 ik heb oov
 er oov  	 er oov
 nog iv  	 nog iv
 maar oov  	 maar oov
 weet niet oov  	 weinig iv
 goed oov  	 goeie oov
 geen oov  	 gegeten iv
 van de was oov  	 poezewoeve iv
 morgen oov  	 morgen oov
 ga oov  	 gaan we oov
 drinken oov  	 friet oov
 eten iv  	 eten iv
 in iv  	 in iv
 onder iv  	 holland oov
 ! iv  	 ! iv
 maar ja oov  	 ja oov
 had iv  	 b_duck iv
 ik vind oov  	 ik vind oov
 een oov  	 een oov
 door oov  	 durum iv
 gewoon oov  	 gewoon oov
 had iv  	 handiger iv
 om iv  	 om iv
 te iv  	 te iv
 eten iv  	 eten iv
 maar ja oov  	 maar ja oov
 kom oov  	 het moet oov
 er iv  	 er iv
 goed oov  	 goed oov
 vanavond oov  	 uitzien iv
 é iv  	 é iv
 ja oov  	 peke iv
 25 iv  	 25 iv
 :p iv  	 :p iv
 straks oov  	 straks oov
 een oov  	 even oov
 privé oov  	 privè iv
 ik heb oov  	 ik heb oov
 een oov  	 een oov
 ben oov  	 banaan iv
 een iv  	 een iv
 zo oov  	 schone oov
 waar oov  	 zwarte oov
 is iv  	 is iv
 ook iv  	 ook iv
 niet oov  	 niet oov
 lekker oov  	 lelijk iv
 , iv  	 , iv
 maar iv  	 maar iv
 moet oov  	 het moet oov
 een iv  	 een iv
 kom oov  	 schone oov
 zijn iv  	 zijn iv
 hoi oov  	 éh iv
 ik was oov  	 kwaad iv
 kijken oov  	 kijken oov
 wil oov  	 trillen oov
 ook oov  	 tot ik oov
 het iv  	 het iv
 niet oov  	 niet oov
 meer iv  	 meer iv
 uit iv  	 uit iv
 kan iv  	 kan iv
 hoi oov  	 houden oov
 :p iv  	 :p iv
 die iv  	 dimitri iv
 1 iv  	 1981 iv
 inderdaad oov  	 inderdaad oov
 ; iv  	 ;o iv
 ... iv  	 ... iv
 maar oov  	 maar oov
 ja iv  	 ja iv
 hoi oov  	 hoi oov
 :d iv  	 :d iv
 x iv  	 xxxxx iv
 haha iv  	 bah oov
 goed iv  	 goed iv
 nog eens oov  	 r-design iv
 het zal oov  	 het zal oov
 zijn oov  	 zijn nadelen oov
 hebben oov  	 hebben oov
 ook iv  	 ook iv
 waarschijnlijk oov  	 waarschijnlijk oov
 ook oov  	 omg iv
 :s iv  	 :s iv
 ik zie oov  	 ik ben oov
 gewoon oov  	 gewoon oov
 aan het oov  	 aan het oov
 kijken iv  	 kijken iv
 naar oov  	 naar oov
 groetjes iv  	 groetjes iv
 uit iv  	 uit iv
 zal oov  	 salou iv
 é iv  	 é iv
 ja oov  	 ja oov
 tussen oov  	 tussen oov
 goed iv  	 gent iv
 en iv  	 en iv
 lekker oov  	 lokeren oov
 weet ik oov  	 weet ik oov
 ik iv  	 ik iv
 wou iv  	 wou iv
 met iv  	 met iv
 het oov  	 het oov
 dat ik oov  	 dak oov
 op oov  	 openrijden iv
 :p iv  	 :p iv
 maar oov  	 maar oov
 het is oov  	 het is oov
 broer oov  	 koud oov
 :p iv  	 :p iv
 haha iv  	 haha iv
 ik zie oov  	 ik ben oov
 laat iv  	 locaties iv
 aan het oov  	 aan het oov
 zoeken oov  	 zoeken oov
 voor iv  	 voor een oov
 weet niet oov  	 wandeling oov
 vanavond oov  	 vanavond oov
 beetje oov  	 amdtje iv
 omdat oov  	 omdat oov
 dat oov  	 dat oov
 niet oov  	 niet oov
 hem oov  	 hij oov
 wat oov  	 was oov
 :p iv  	 :p iv
 jij oov  	 jij oov
 wel iv  	 wel iv
 misschien oov  	 misschien oov
 ja oov  	 ja oov
 op de oov  	 spiderwoman iv
 :) iv  	 :) iv
 ik iv  	 ik iv
 kan iv  	 kan iv
 gewoon oov  	 gewoon oov
 niet oov  	 niet oov
 tegen oov  	 tegen oov
 dat oov  	 dat oov
 er iv  	 herhalen iv
 ... iv  	 ... iv
 :s iv  	 :s iv
 ja oov  	 ja oov
 al oov  	 alé iv
 nu iv  	 nu iv
 zal het oov  	 zal oov
 in oov  	 hij oov
 inderdaad oov  	 inderdaad oov
 wel iv  	 wel iv
 goed oov  	 goed oov
 maar oov  	 marcheren iv
 :p iv  	 :p iv
 die oov  	 die oov
 vanavond oov  	 colgate iv
 heeft oov  	 is oov
 ook iv  	 ook iv
 al iv  	 al iv
 tegen oov  	 tegen oov
 mij iv  	 mij iv
 ben oov  	 begonnen oov
 ik iv  	 ik iv
 gaan oov  	 ga oov
 niet oov  	 niet oov
 blijven oov  	 blijven oov
 praten oov  	 praten oov
 nee oov  	 nee oov
 , iv  	 , iv
 ik ga oov  	 ik ga oov
 en oov  	 elisa iv
 eens oov  	 eens oov
 zien iv  	 zien iv
 vanavond iv  	 vanavond iv
 :-) iv  	 :-( iv
 antwoord oov  	 ah iv
 goed iv  	 goed iv
 om iv  	 om iv
 weten iv  	 weten iv
 :-) iv  	 :-) iv
 waarschijnlijk oov  	 waarschijnlijk oov
 zullen iv  	 zullen iv
 we iv  	 we iv
 even oov  	 even oov
 ja oov  	 passeren iv
 ik ga oov  	 ik ga oov
 mee iv  	 mee iv
 kom oov  	 klimmen iv
 :-) iv  	 :-) iv
 ik heb oov  	 ik heb oov
 er iv  	 er iv
 wel iv  	 wel iv
 de iv  	 de iv
 graag oov  	 groepsraad iv
 voor iv  	 voor iv
 of je oov  	 afgezegd iv
 :p iv  	 :-p iv
 ik zal oov  	 ik zal oov
 het iv  	 het iv
 op iv  	 op iv
 mijn oov  	 mijn oov
 goed oov  	 todo iv
 zitten oov  	 zetten iv
 :-) iv  	 :-) iv
 dankje oov  	 dankuwel oov
 ! iv  	 ! iv
 het zal oov  	 het zal oov
 nog is oov  	 nodig iv
 zijn iv  	 zijn iv
 :-) iv  	 :-) iv
 jij oov  	 jij oov
 moet iv  	 moet iv
 zaterdag iv  	 zaterdag iv
 waarschijnlijk oov  	 waarschijnlijk oov
 ? iv  	 ? iv
 euhm iv  	 euhm iv
 ik ga oov  	 ik ga oov
 eens oov  	 eens oov
 moeten iv  	 moeten iv
 denken iv  	 denken iv
 ... iv  	 ... iv
 misschien oov  	 misschien oov
 morgen iv  	 morgen iv
 , iv  	 , iv
 ik ga oov  	 ik ga oov
 zien iv  	 zien iv
 oké oov  	 oké oov
 ik zal oov  	 ik zal oov
 er oov  	 er oov
 zijn iv  	 zijn iv
 ik zal oov  	 ik zal oov
 waarschijnlijk oov  	 waarschijnlijk oov
 wel iv  	 wel iv
 morgen oov  	 meegaan iv
 , iv  	 , iv
 ik iv  	 ik iv
 kijk iv  	 kijk iv
 er iv  	 er iv
 naar iv  	 naar iv
 uit iv  	 uit iv
 :-) iv  	 :-) iv
 het zal oov  	 het zal oov
 nog iv  	 nog iv
 even oov  	 even oov
 die oov  	 duren iv
 , iv  	 , iv
 moet iv  	 moet iv
 nog iv  	 nog iv
 drinken iv  	 vertrekken iv
 ben oov  	 meen je oov
 dat oov  	 dat oov
 ! iv  	 ! iv
 privé oov  	 proficiat iv
 !! iv  	 !! iv
 ik zit oov  	 ik zit oov
 wel iv  	 wel iv
 juist oov  	 juist oov
 op iv  	 op iv
 weekend iv  	 weekend iv
 vrijdag iv  	 vrijdag iv
 :-) iv  	 :-( iv
 ja iv  	 ja iv
 goed oov  	 is goed oov
 , iv  	 , iv
 het zal oov  	 hoelaat iv
 ? iv  	 ? iv
 maar oov  	 maar oov
 ik wil oov  	 ik wil oov
 ben oov  	 meezoeken iv
 ... iv  	 ... iv
 ik heb oov  	 ik heb oov
 ja oov  	 pauze iv
 even iv  	 vanaf iv
 11 iv  	 11 iv
 u iv  	 uur oov
 ofzo iv  	 ofzo iv
 ja iv  	 ja iv
 waarschijnlijk oov  	 waarschijnlijk oov
 wel iv  	 wel iv
 , iv  	 , iv
 voor oov  	 voor wat oov
 ? iv  	 ? iv
 nee oov  	 nee oov
 , iv  	 , iv
 ik heb oov  	 ik heb oov
 dat oov  	 dat oov
 of je oov  	 afgezegd iv
 maakt iv  	 maakt iv
 niet oov  	 niet oov
 uit iv  	 uit iv
 , iv  	 , iv
 misschien oov  	 misschien oov
 beter iv  	 beter iv
 een oov  	 excel iv
 ook oov  	 ow iv
 , iv  	 , iv
 ik moet oov  	 ik moet oov
 nog iv  	 nog iv
 even oov  	 even oov
 spelen iv  	 stappen iv
 zo oov  	 second iv
 oké iv  	 oesje iv
 zo iv  	 zo iv
 serieus iv  	 serieus iv
 plaats iv  	 plots iv
 ... iv  	 ... iv
 het is oov  	 het is oov
 misschien oov  	 misschien oov
 inderdaad iv  	 inderdaad iv
 wel iv  	 wel iv
 het iv  	 het iv
 best iv  	 beste iv
 xx iv  	 xx iv
 ik zal oov  	 ik zal oov
 het iv  	 het iv
 eens oov  	 eens oov
 ben oov  	 bekijken iv
 straks iv  	 straks iv
 ... iv  	 ... iv
 ik zal oov  	 ik zal oov
 eerst iv  	 eerst iv
 nog iv  	 nog iv
 eens oov  	 eens oov
 al oov  	 mailen iv
 waar oov  	 waar oov
 bent oov  	 ben oov
 jij oov  	 jij oov
 ? iv  	 ? iv
 ja oov  	 app-jacht iv
 is iv  	 is iv
 voor oov  	 voorbij oov
 ... iv  	 ... iv
 tuurlijk oov  	 tuurlijk oov
 , iv  	 , iv
 ik ga oov  	 ik ga oov
 toch iv  	 toch iv
 blijven oov  	 blijven oov
 slapen iv  	 slapen iv
 ? iv  	 ? iv
 we iv  	 we iv
 kunnen iv  	 kunnen iv
 misschien oov  	 misschien oov
 aan het oov  	 aan het oov
 zou iv  	 zuid iv
 op iv  	 op iv
 elkaar iv  	 elkaar iv
 wachten iv  	 wachten iv
 ? iv  	 ? iv
 kus oov  	 kusje iv
 , iv  	 , iv
 ja oov  	 jan. iv
 geen oov  	 geen oov
 antwoord iv  	 antwoord iv
 maar oov  	 meer oov
 :( iv  	 :( iv
 ik zal oov  	 ik zal oov
 morgen iv  	 morgen iv
 nog oov  	 nog oov
 eens iv  	 eens iv
 proberen iv  	 proberen iv
 voor oov  	 voor oov
 over oov  	 overmorgen iv
 . iv  	 . iv
 kus oov  	 kusje iv
 ! iv  	 ! iv
 even oov  	 pfff iv
 , iv  	 , iv
 ze iv  	 ze iv
 nemen iv  	 nemen iv
 nu iv  	 nu iv
 alweer iv  	 alweer iv
 niet oov  	 niet oov
 op iv  	 op iv
 :s iv  	 :s iv
 die oov  	 idem iv
 , iv  	 , iv
 ben iv  	 ben iv
 nog oov  	 nog oov
 even oov  	 even oov
 blijven oov  	 blijven oov
 liggen iv  	 liggen iv
 :p iv  	 :p iv
 kus oov  	 kusje iv
 ! iv  	 ! iv
 ik ga oov  	 ik ga oov
 iets iv  	 iets iv
 later iv  	 later iv
 ben oov  	 zijn oov
 , iv  	 , iv
 ik moet oov  	 ik moet oov
 mijn oov  	 mijn oov
 drinken oov  	 fietsband iv
 vanavond oov  	 vervangen iv
 want iv  	 want iv
 op oov  	 oppompen iv
 op oov  	 helpt iv
 niet iv  	 niet iv
 ... iv  	 ... iv
 dag iv  	 dag iv
 liefje iv  	 liefje iv
 , iv  	 , iv
 wanneer iv  	 wanneer iv
 mag iv  	 mag iv
 ik iv  	 ik iv
 bij oov  	 bij oov
 jou iv  	 jou iv
 ben oov  	 zijn oov
 vanavond oov  	 vanavond oov
 ? iv  	 ? iv
 kus oov  	 xje iv
 ! iv  	 ! iv
 op oov  	 top oov
 , iv  	 , iv
 want iv  	 want iv
 ik ben oov  	 ik ben oov
 nog oov  	 nog oov
 druk iv  	 druk iv
 aan het oov  	 aan het oov
 op oov  	 paperen iv
 en iv  	 en iv
 ik moet oov  	 ik moet oov
 me iv  	 me iv
 nog iv  	 nog iv
 lachen oov  	 douchen iv
 ... iv  	 ... iv
 kus oov  	 kusje iv
 ! iv  	 ! iv
 wil iv  	 wil oov
 jij oov  	 jij oov
 komen oov  	 komen oov
 op iv  	 helpen iv
 misschien oov  	 misschien oov
 ? iv  	 ? iv
 :p iv  	 :p iv
 ik iv  	 ik iv
 voor ik oov  	 vertrek iv
 ook iv  	 ook iv
 ben oov  	 bijna oov
 dus iv  	 dus iv
 tegen iv  	 tegen iv
 ik oov  	 6 iv
 u iv  	 uur oov
 ga ik oov  	 ga ik oov
 daar iv  	 daar iv
 ben oov  	 zijn oov
 :) iv  	 :) iv
 ik zou oov  	 ik zou oov
 zeggen oov  	 zeggen oov
 van oov  	 van oov
 niet oov  	 niet oov
 ... iv  	 ... iv
 het oov  	 hmmm iv
 , iv  	 , iv
 dat is oov  	 dat is oov
 inderdaad oov  	 inderdaad oov
 een oov  	 een oov
 beetje iv  	 beetje iv
 goed oov  	 gek iv
 :p iv  	 :p iv
 nog oov  	 nog oov
 1 iv  	 1 iv
 maar oov  	 maand iv
 ! iv  	 ! iv
 kus oov  	 kus oov
 ik zal oov  	 ik zal oov
 u iv  	 u iv
 binnen oov  	 binnen oov
 een oov  	 een oov
 u iv  	 uur oov
 komen iv  	 komen iv
 halen iv  	 halen iv
 . iv  	 . iv
 zitten oov  	 zitten oov
 jullie iv  	 jullie iv
 al iv  	 al iv
 binnen oov  	 binnen oov
 ? iv  	 ? iv
 misschien oov  	 tsts iv
 , iv  	 , iv
 ik iv  	 ik iv
 wil iv  	 wil iv
 nog oov  	 nog oov
 wel iv  	 wel iv
 iets oov  	 iets oov
 doen iv  	 doen iv
 hé iv  	 hé iv
 :p iv  	 :p iv
 jij oov  	 jij oov
 zal oov  	 zal oov
 wel iv  	 wel iv
 zien iv  	 zien iv
 , iv  	 , iv
 goed oov  	 goed oov
 ? iv  	 ? iv
 kus oov  	 kus oov
 ! iv  	 ! iv
 slapen oov  	 slaap iv
 zie iv  	 zoet iv
 , iv  	 , iv
 mijn oov  	 mijn oov
 had iv  	 hartendief oov
 ! iv  	 ! iv
 ik ben oov  	 ik ben oov
 zeker iv  	 zeker iv
 dat je oov  	 dat je oov
 eens oov  	 test iv
 wel iv  	 wel iv
 zal iv  	 zal iv
 lekker iv  	 lukken iv
 :) iv  	 :) iv
 die ik oov  	 dikke iv
 kus iv  	 kus iv
 ! iv  	 ! iv
 ja oov  	 jan. iv
 dan iv  	 dan iv
 zal iv  	 zal iv
 jij oov  	 jij oov
 naar oov  	 naar oov
 mij oov  	 mij oov
 moeten iv  	 moeten iv
 komen iv  	 komen iv
 hé iv  	 hé iv
 ... iv  	 ... iv
 op oov  	 top oov
 , iv  	 , iv
 is iv  	 is iv
 wel iv  	 wel iv
 even oov  	 even oov
 geleden iv  	 geleden iv
 dus iv  	 dus iv
 ik zal oov  	 ik zal oov
 wat oov  	 wat oov
 nog is oov  	 roestig iv
 ben oov  	 zijn oov
 ... iv  	 ... iv
 hoe iv  	 hoe iv
 laat iv  	 laat iv
 mag ik oov  	 mag ik oov
 dan iv  	 dan iv
 bij oov  	 bij oov
 jou iv  	 jou iv
 ben oov  	 zijn oov
 ? iv  	 ? iv
 kus oov  	 kus oov
 ! iv  	 ! iv
 ik heb oov  	 ik heb oov
 een oov  	 een oov
 liggen oov  	 leeg iv
 deze oov  	 sms'je oov
 komen oov  	 gekregen iv
 ... iv  	 ... iv
 op oov  	 top oov
 , iv  	 , iv
 want iv  	 want iv
 mijn oov  	 mijn oov
 kijk oov  	 cheques iv
 liggen iv  	 liggen iv
 in oov  	 in het oov
 hij is oov  	 huisje iv
 ... iv  	 ... iv
 kus oov  	 kus oov
 ! iv  	 ! iv
 dag iv  	 dag iv
 liefje iv  	 liefje iv
 , iv  	 , iv
 waar oov  	 wanneer oov
 ga iv  	 ga iv
 je iv  	 je iv
 daar iv  	 daar iv
 ben oov  	 zijn oov
 ? iv  	 ? iv
 kus oov  	 kus oov
 ! iv  	 ! iv
 op oov  	 top oov
 , iv  	 , iv
 wat oov  	 wat oov
 doen iv  	 doen iv
 we iv  	 we iv
 dan iv  	 dan iv
 ? iv  	 ? iv
 kus oov  	 kus oov
 ! iv  	 ! iv
 hoi oov  	 héhé iv
 , iv  	 , iv
 ik heb oov  	 ik heb oov
 dat oov  	 de oov
 ja oov  	 reclame oov
 ook iv  	 ook iv
 gezien iv  	 gezien iv
 en iv  	 en iv
 ik iv  	 ik iv
 dacht iv  	 dacht iv
 juist iv  	 juist iv
 hetzelfde iv  	 hetzelfde iv
 :) iv  	 :) iv
 in oov  	 inschrijven oov
 op iv  	 op iv
 waarom oov  	 forum iv
 . iv  	 . iv
 het is oov  	 het is oov
 volgende iv  	 volgende iv
 week iv  	 week iv
 doen oov  	 donderdag oov
 . iv  	 . iv
 heb iv  	 heb iv
 ook iv  	 ook iv
 geen oov  	 geen oov
 goed oov  	 geld iv
 maar oov  	 meer oov
 sowieso oov  	 snoesje iv
 .. iv  	 .. iv
 kom iv  	 kom iv
 dan iv  	 dan iv
 die oov  	 direct iv
 naar oov  	 naar oov
 huis iv  	 huis iv
 ? iv  	 ? iv
 kus oov  	 kus oov
 ! iv  	 ! iv
 ik ga oov  	 ik ga oov
 niet iv  	 niet iv
 eten iv  	 eten iv
 vanavond oov  	 vanavond oov
 dus iv  	 dus iv
 het iv  	 het iv
 maakt iv  	 maakt iv
 niet iv  	 niet iv
 uit iv  	 uit iv
 ... iv  	 ... iv
 ja oov  	 goh ja oov
 ... iv  	 ... iv
 ze iv  	 ze iv
 moeten iv  	 moeten iv
 er iv  	 er iv
 maar oov  	 maarr oov
 nog een oov  	 tegen kunnen oov
 ... iv  	 ... iv
 binnen oov  	 binnen oov
 een oov  	 een oov
 half iv  	 halfuur oov
 , iv  	 , iv
 als iv  	 als iv
 je iv  	 je iv
 wil iv  	 wil iv
 ? iv  	 ? iv
 kus oov  	 kus oov
 ! iv  	 ! iv
 door oov  	 droom iv
 zie iv  	 zoet iv
 ! iv  	 ! iv
 ik had oov  	 ik had oov
 je iv  	 je iv
 deze oov  	 sms'je oov
 nog oov  	 nog oov
 niet oov  	 niet oov
 gezien iv  	 gezien iv
 ... iv  	 ... iv
 kus oov  	 kusje iv
 ! iv  	 ! iv
 jij oov  	 jij oov
 moet iv  	 moet iv
 mij oov  	 mij oov
 hebben oov  	 hebben oov
 ? iv  	 ? iv
 a iv  	 aah iv
 :p iv  	 :p iv
 we iv  	 we iv
 zullen oov  	 zullen oov
 vanavond oov  	 vanavond oov
 vroeg iv  	 vroeg iv
 geen oov  	 gaan oov
 slapen iv  	 slapen iv
 ! iv  	 ! iv
 kus oov  	 kus oov
 ! iv  	 ! iv
 nog oov  	 no iv
 maar oov  	 mail iv
 ... iv  	 ... iv
